index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.20638666,0.2680721,9.113768e-07,1.0372589e-07,1.8957101e-07,0.083574034,0.43735057,0.15854202,0.024921807,0.028340958
1,0.18377392,0.2046108,5.7858576e-09,6.606456e-10,1.6360494e-09,0.0650089,0.41113266,0.21365295,0.008660036,0.014454952
2,0.23654453,0.10487409,2.0350997e-08,8.081414e-09,5.8790683e-09,0.080396056,0.31083134,0.354603,0.012493102,0.0065607624
3,0.19395743,0.09235544,4.7827694e-08,4.4038085e-08,9.691724e-09,0.06039594,0.26156396,0.30066022,0.015865786,0.0065111485
4,0.14704506,0.10403453,8.578521e-08,7.6098814e-08,1.3308357e-07,0.059541937,0.21729833,0.2491518,0.025979012,0.008666552
5,0.17200513,0.14937073,3.171563e-07,1.362258e-07,9.810018e-07,0.058813237,0.17639191,0.20836441,0.04092902,0.012488728
6,0.12540746,0.11169244,2.2623944e-07,3.089402e-08,2.1234437e-06,0.021966033,0.1516764,0.07474649,0.040589083,0.010936585
7,0.1564845,0.15207103,1.938139e-07,2.4991413e-08,3.36456e-06,0.026612652,0.19423872,0.07124454,0.07046783,0.007889714
8,0.15517612,0.20875609,1.613949e-07,2.4343764e-08,3.1418876e-06,0.050537866,0.15646823,0.06855016,0.15605484,0.01428587
9,0.14299603,0.2325353,1.4030631e-07,1.0322711e-08,1.7193267e-06,0.0838699,0.15851337,0.05296126,0.23551431,0.039836396
10,0.18100382,0.2787457,3.1834415e-07,3.009972e-08,3.9424576e-06,0.12198267,0.24749458,0.058535583,0.28962412,0.07223697
11,0.15275064,0.28569195,1.2729627e-06,9.872141e-08,2.831283e-05,0.117265366,0.27997327,0.045332998,0.31323946,0.08830619
12,0.15533498,0.22218682,9.579593e-06,2.9190736e-07,2.6197336e-05,0.122927025,0.34114543,0.037120897,0.3063532,0.092713065
13,0.17433539,0.28914195,4.690939e-05,5.7339804e-07,2.9708033e-05,0.13154255,0.3772621,0.056773487,0.29677677,0.07991904
14,0.19568461,0.27454126,5.0395145e-05,1.8119553e-07,5.7453646e-05,0.14377756,0.3535021,0.06146857,0.27108002,0.07028354
15,0.2013374,0.118953146,5.5296197e-05,5.2978308e-08,8.069561e-05,0.13612658,0.30032894,0.073371716,0.2290054,0.07010495
16,0.20809974,0.06407802,9.7010525e-05,7.1608994e-08,0.0004818148,0.11816079,0.2466035,0.10618371,0.16379611,0.06760555
17,0.21369301,0.035685685,9.677142e-05,4.2661686e-08,0.002053552,0.080696836,0.2103408,0.11212942,0.12689656,0.05490915
18,0.19719401,0.07260492,9.575846e-05,6.112193e-08,0.004390013,0.042292673,0.22665344,0.12998879,0.13887008,0.044128988
19,0.18262208,0.13735548,3.5587873e-05,1.13827426e-07,0.0013812137,0.041444827,0.2444838,0.14221805,0.15181759,0.05326135
20,0.13292678,0.22529493,1.4128271e-05,2.1958095e-07,0.00012581873,0.038965352,0.27803203,0.116817765,0.14374496,0.04747517
