index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.60409623,0.8861153,7.271084e-08,1.8486297e-05,4.8984537e-05,0.27842623,0.27521738,0.33825317,0.0044876155,0.17248097
1,0.4252675,0.92607605,1.1325479e-11,7.6178225e-08,1.1492814e-06,0.18145585,0.10623044,0.22884534,0.0003945457,0.13331057
2,0.3480266,0.9097641,1.5264206e-12,4.345765e-08,2.2099443e-06,0.21749076,0.016084353,0.26216763,6.741779e-05,0.15129094
3,0.40986454,0.918197,2.4384214e-13,5.920321e-08,2.6344933e-06,0.26557624,0.0025468622,0.27547312,7.727794e-06,0.20156303
4,0.5242424,0.9121849,7.942412e-13,2.2465758e-07,8.994873e-06,0.32833117,0.0028834902,0.29965904,3.7811144e-05,0.31080633
5,0.39752713,0.9087135,7.6358165e-12,3.884349e-07,1.6795948e-05,0.28302887,0.016893288,0.28010148,0.0006701573,0.18463865
6,0.3505722,0.9221325,5.7066712e-12,4.3016124e-07,1.6445365e-05,0.28011242,0.023839245,0.28112406,0.0007931114,0.1736534
7,0.3861342,0.92344373,1.4426366e-11,4.5466717e-07,3.231913e-05,0.31353623,0.026446082,0.29298475,0.0019928196,0.21893023
8,0.39207244,0.9305615,6.171998e-11,4.6836317e-07,5.2683565e-05,0.32489076,0.022663496,0.27741492,0.005206784,0.23670469
9,0.3925823,0.9245588,1.2556336e-11,3.3025012e-07,7.241872e-05,0.33389387,0.0068319514,0.2835661,0.00067412754,0.23050348
10,0.35979483,0.9284914,7.875183e-12,2.2774843e-07,7.121295e-05,0.32189354,0.0016859825,0.25335062,4.1088075e-05,0.17632324
11,0.36455736,0.9290888,4.5310082e-11,2.942355e-07,7.634584e-05,0.32972667,0.003947562,0.27027288,0.00012784485,0.21002524
12,0.35494134,0.9244623,7.0938665e-11,3.525997e-07,7.3077696e-05,0.32748517,0.0031782677,0.28492078,6.5349246e-05,0.2163922
13,0.39089754,0.93058795,5.422124e-10,3.306573e-07,0.000110875815,0.33013934,0.0052617704,0.3745351,0.0001414634,0.22442967
14,0.43656284,0.9325453,7.351671e-09,4.0333714e-07,0.0004135975,0.32987005,0.01489301,0.46056494,0.0007789406,0.20226906
15,0.41716462,0.9426531,1.5626279e-08,3.5093476e-07,0.00086018274,0.325934,0.0075166654,0.5304757,0.00034545106,0.18554819
16,0.43913224,0.9449392,3.0863387e-07,2.189279e-07,0.0016779891,0.32983536,0.03146711,0.6433575,0.0012787739,0.19710931
17,0.46110994,0.94548506,7.820391e-07,1.2645671e-07,0.0094743,0.33038995,0.050311718,0.63213354,0.0015985797,0.17463477
18,0.4638394,0.93327457,7.850439e-08,7.7956635e-08,0.017655898,0.32946637,0.028461628,0.7179379,0.0004957734,0.12730607
19,0.46111548,0.9357154,1.2805766e-08,8.605312e-08,0.012458738,0.3523439,0.049287427,0.7155078,0.00081720017,0.12002029
20,0.40664902,0.95264596,9.961571e-11,9.271062e-08,0.0023652744,0.35532698,0.03138762,0.6696989,0.0001952453,0.09658161
21,0.42802656,0.93173546,8.570356e-12,7.78247e-08,2.7809698e-05,0.36407757,0.018456735,0.6741551,0.000118445816,0.12314301
22,0.39222506,0.93358016,9.384587e-12,9.061601e-08,9.552681e-07,0.36193505,0.022664769,0.6679561,0.00024454432,0.1636492
23,0.43869635,0.93818766,9.010861e-12,1.1498707e-07,6.910606e-07,0.35392904,0.023371028,0.6799088,0.0002771082,0.13510932
24,0.4843644,0.9410334,5.521822e-11,1.4321499e-07,1.4030881e-07,0.35428053,0.047332704,0.6656371,0.002031889,0.13080874
25,0.428689,0.9377843,7.460317e-11,1.7932614e-07,8.6448824e-07,0.32332107,0.071509965,0.6726428,0.0032199414,0.12145777
